cod_local; endereco_formatado; lat; lng
00802; AV NOVE DE JULHO, 3332, Sao Paulo, SP ; -23.5688496; -46.6609684 
00820; AV MARQUES DE SAO VICENTE, 0, Sao Paulo, SP ; -23.5225531; -46.6595444 
00822; AV MARQUES DE S.VICENTE, 0, Sao Paulo, SP ; -23.5225531; -46.6595444 
00826; AV. PAES DE BARROS, 1610, Sao Paulo, SP ; -23.5670026; -46.5923758 
00827; AV. PAES DE BARROS, 1581, Sao Paulo, SP ; -23.5666668; -46.5924076 
00829; AV. PAES DE BARROS, 0, Sao Paulo, SP ; -23.5555204; -46.6001961 
00839; AV GEN OLIMPIO DA SILVEIRA, 160, Sao Paulo, SP ; -23.532287; -46.6579368 
00843; AV FRANCISCO MATARAZZO, 1500, Sao Paulo, SP ; -23.5258109; -46.6768803 
00859; AV PROF FRANCISCO MORATO, 1588, Sao Paulo, SP ; -23.5829024; -46.7144985 
00888; AV SANTO AMARO, 3128, Sao Paulo, SP ; -23.6117502; -46.6778778 
00891; AV SANTO AMARO, 5355, Sao Paulo, SP ; -23.6294514; -46.6894507 
00900; R CON.EUGENIO LEITE, 0, Sao Paulo, SP ; -23.5668093; -46.6774583 
00909; AV POMPEIA, 0, Sao Paulo, SP ; -23.5255867; -46.6817788 
00910; AV BRAZ LEME, 0, Sao Paulo, SP ; -23.5151808; -46.6536737 
00911; AV STO AMARO, 0, Sao Paulo, SP ; -23.6099991; -46.6772352 
00912; AV SAO GABRIEL, 0, Sao Paulo, SP ; -23.5829764; -46.6700713 
00913; AV BRASIL, 0, Sao Paulo, SP ; -23.5790375; -46.6614338 
00917; R DO ORFANATO, 0, Sao Paulo, SP ; -23.5814184; -46.5851356 
00918; R CARDEAL ARCOVERDE, 0, Sao Paulo, SP ; -23.5529203; -46.6738789 
00922; R CONDE MOREIRA LIMA, 229, Sao Paulo, SP ; -23.6606156; -46.6584798 
00924; R ACURUI, 700, Sao Paulo, SP ; -23.5615225; -46.5527647 
00937; R TABAPUAR DR RENATO PAES DE BARROS, 0, Sao Paulo, SP ; -23.5505199; -46.6333094 
00945; AV PAES DE BARROS, 0, Sao Paulo, SP ; -23.5555204; -46.6001961 
00946; R JEROAQUARA, 0, Sao Paulo, SP ; -23.5248319; -46.7021814 
00948; AV NOVE DE JULHO, 0, Sao Paulo, SP ; -23.5517584; -46.6473069 
00954; R BOM PASTOR, 0, Sao Paulo, SP ; -23.577187; -46.6087672 
00955; AV FRANCISCO MATARAZZO, 0, Sao Paulo, SP ; -23.5317104; -46.6636422 
00958; AV ALCANTARA MACHADO, 0, Sao Paulo, SP ; -23.5519625; -46.6249602 
00959; AV ANGELICA , 0, Sao Paulo, SP ; -23.5329982; -46.6529922 
00960; AV SAO JOAO, 0, Sao Paulo, SP ; -23.5444048; -46.6365864 
00961; AV BRASIL, 0, Sao Paulo, SP ; -23.5790375; -46.6614338 
